CARIMBO DE DATA/HORA	LINK DA CASA	VALOR DA CASA	BAIRRO	RUA	NÚMERO 	VALOR DO IMÓVEL 	NÚMERO DE QUARTOS	NÚMERO DE BANHEIROS	TAMANHO DO TERRENO	TEM EDÍCULA?	ZONA	ccccc	São José do Rio Preto
6/25/2023 10:27:17	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Residencial-da-Fraternidade/22960	380000	Residencial Fraternidade			350-400 mil	3	3	200,0	Não	SUL	Residencial Fraternidade, São José do Rio Preto	
6/25/2023 10:28:39	https://www.redentora.com.br/alugar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Quinta-das-Paineiras/24027	1500000	Parque Quinta Das Paineiras			Mais que 400 mil	3	2	722,0	Não	SUL	Parque Quinta Das Paineiras, São José do Rio Preto	
6/25/2023 10:29:13	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Quinta-das-Paineiras/23496	800000	Parque Quinta Das Paineiras			Mais que 400 mil	3	3	456,0	Sim	SUL	Parque Quinta Das Paineiras, São José do Rio Preto	
6/25/2023 10:29:57	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Quinta-das-Paineiras/18003	690000	Parque Quinta Das Paineiras			Mais que 400 mil	3	4	360,0	Não	SUL	Parque Quinta Das Paineiras, São José do Rio Preto	
6/25/2023 10:30:52	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Quinta-das-Paineiras/8671	780000	Parque Quinta Das Paineiras			Mais que 400 mil	3	5	360,0	Não	SUL	Parque Quinta Das Paineiras, São José do Rio Preto	
6/25/2023 10:31:57	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Nova-Redentora/22068	1200000	Nova Redentora			Mais que 400 mil	3	5	300,0	Não	SUL	Nova Redentora, São José do Rio Preto	
6/25/2023 10:32:31	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Nova-Redentora/11893	650000	Nova Redentora			Mais que 400 mil	3	2	300,0	Não	SUL	Nova Redentora, São José do Rio Preto	
6/25/2023 10:51:24	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Loteamento-Parque-dos-Passaros/6578	900000	Loteamento Parque Dos Passaros			Mais que 400 mil	3	5	1150,0	Sim	SUL	Loteamento Parque Dos Passaros, São José do Rio Preto	
6/25/2023 10:53:20	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Vivendas/24076	1260000	Jardim Vivendas			Mais que 400 mil	3	4	450,0	Sim	SUL	Jardim Vivendas, São José do Rio Preto	
6/25/2023 10:53:57	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Vivendas/20379	1300000	Jardim Vivendas			Mais que 400 mil	>=4	5	450,0	Não	SUL	Jardim Vivendas, São José do Rio Preto	
6/25/2023 10:54:33	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Vivendas/8650	2000000	Jardim Vivendas			Mais que 400 mil	>=4	3	450,0	Não	SUL	Jardim Vivendas, São José do Rio Preto	
6/25/2023 10:55:08	https://www.redentora.com.br/alugar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Vivendas/6506	1400000	Jardim Vivendas			Mais que 400 mil	3	4	450,0	Não	SUL	Jardim Vivendas, São José do Rio Preto	
6/25/2023 10:55:53	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Viena/17976	520000	Jardim Viena			Mais que 400 mil	>=4	5	360,0	Sim	SUL	Jardim Viena, São José do Rio Preto	
6/25/2023 10:56:29	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Viena/1899	480000	Jardim Viena			Mais que 400 mil	3	3	360,0	Não	SUL	Jardim Viena, São José do Rio Preto	
6/25/2023 10:59:08	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Tarraf/17850	850000	Jardim Tarraf			Mais que 400 mil	>=4	4	525,0	Não	SUL	Jardim Tarraf, São José do Rio Preto	
6/25/2023 10:59:54	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Tarraf/14951	1650000	Jardim Tarraf			Mais que 400 mil	>=4	6	1057,0	Não	SUL	Jardim Tarraf, São José do Rio Preto	
6/25/2023 11:00:32	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Tarraf/1972	1500000	Jardim Tarraf			Mais que 400 mil	>=4	8	912,0	Não	SUL	Jardim Tarraf, São José do Rio Preto	
6/25/2023 11:01:06	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Tarraf/1881	1400000	Jardim Tarraf			Mais que 400 mil	>=4	7	590,0	Não	SUL	Jardim Tarraf, São José do Rio Preto	
6/25/2023 11:01:57	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Santa-Maria/22023	390000	Jardim Santa Maria			350-400 mil	2	2	160,0	Não	SUL	Jardim Santa Maria, São José do Rio Preto	
6/25/2023 11:02:56	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Santa-Catarina/21236	700000	Jardim Santa Catarina			Mais que 400 mil	3	4	384,0	Sim	SUL	Jardim Santa Catarina, São José do Rio Preto	
6/25/2023 11:03:27	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Santa-Catarina/19006	495000	Jardim Santa Catarina			Mais que 400 mil	>=4	4	432,0	Sim	SUL	Jardim Santa Catarina, São José do Rio Preto	
6/25/2023 11:04:00	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Santa-Catarina/18207	750000	Jardim Santa Catarina			Mais que 400 mil	3	4	400,0	Não	SUL	Jardim Santa Catarina, São José do Rio Preto	
6/25/2023 11:04:55	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Santa-Catarina/17300	300000	Jardim Santa Catarina			Mais que 400 mil	3	2	144,0	Não	SUL	Jardim Santa Catarina, São José do Rio Preto	
6/25/2023 11:06:04	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Bom-Jardim/13962	380000	Bom Jardim			350-400 mil	>=4	3	360,0	Sim	SUL	Bom Jardim, São José do Rio Preto	
6/25/2023 11:07:17	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Ouro-Verde/23162	380000	Jardim Ouro Verde			350-400 mil	>=4	3	300,0	Sim	SUL	Jardim Ouro Verde, São José do Rio Preto	
