CARIMBO DE DATA/HORA	LINK DA CASA	VALOR DA CASA	BAIRRO	RUA	NÚMERO 	VALOR DO IMÓVEL 	NÚMERO DE QUARTOS	NÚMERO DE BANHEIROS	TAMANHO DO TERRENO	TEM EDÍCULA?	ZONA	Boa Vista, São José do Rio Preto	São José do Rio Preto
6/25/2023 12:12:48	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Santa-Cruz/18232	283000	Vila Santa Cruz			250-300 mil	3	2	121	Não	CENTRO	Vila Santa Cruz, São José do Rio Preto	
6/25/2023 12:13:34	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Santa-Cruz/16736	700000	Vila Santa Cruz			Mais que 400 mil	3	1	253	Não	CENTRO	Vila Santa Cruz, São José do Rio Preto	
6/25/2023 12:14:10	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Santa-Cruz/14607	780000	Vila Santa Cruz			Mais que 400 mil	3	3	242	Não	CENTRO	Vila Santa Cruz, São José do Rio Preto	
6/25/2023 12:14:57	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Santa-Cruz/11469	480000	Vila Santa Cruz			Mais que 400 mil	>=4	2	484	Sim	CENTRO	Vila Santa Cruz, São José do Rio Preto	
6/25/2023 12:15:28	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Santa-Cruz/7081	280000	Vila Santa Cruz			250-300 mil	3	2	253	Não	CENTRO	Vila Santa Cruz, São José do Rio Preto	
6/25/2023 12:16:07	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Santa-Cruz/2727	600000	Vila Santa Cruz			Mais que 400 mil	3	1	242	Não	CENTRO	Vila Santa Cruz, São José do Rio Preto	
6/25/2023 12:16:42	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Santa-Cruz/836	700000	Vila Santa Cruz			Mais que 400 mil	>=4	3	539	Sim	CENTRO	Vila Santa Cruz, São José do Rio Preto	
6/25/2023 12:17:20	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Zilda/23587	180000	Vila Zilda			Até 250 mil	3	2	242	Sim	CENTRO	Vila Zilda, São José do Rio Preto	
6/25/2023 12:17:52	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Zilda/18347	650000	Vila Zilda			Mais que 400 mil	3	3	242	Não	CENTRO	Vila Zilda, São José do Rio Preto	
6/25/2023 12:18:29	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Vila-Zilda/1684	252000	Vila Zilda			250-300 mil	3	2	264	Não	CENTRO	Vila Zilda, São José do Rio Preto	
6/25/2023 12:19:35	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Conceicao/19344	250000	Jardim Conceição			Até 250 mil	3	2	275	Sim	CENTRO	Jardim Conceição, São José do Rio Preto	
6/25/2023 12:20:14	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Conceicao/19340	350000	Vila Conceição			300-350 mil	3	3	294	Não	CENTRO	Vila Conceição, São José do Rio Preto	
6/25/2023 12:20:55	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Conceicao/14844	280000	Jardim Conceição			250-300 mil	3	3	297	Não	CENTRO	Jardim Conceição, São José do Rio Preto	
