CARIMBO DE DATA/HORA	LINK DA CASA	VALOR DA CASA	BAIRRO	RUA	NÚMERO 	VALOR DO IMÓVEL 	NÚMERO DE QUARTOS	NÚMERO DE BANHEIROS	TAMANHO DO TERRENO	TEM EDÍCULA?	ZONA	bbbb	São José Do Rio Preto
6/25/2023 12:11:23	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Nazareth/14909	460000	Jardim Nazareth			Mais que 400 mil	3	5	450,0	Não	LESTE	Jardim Nazareth, São José Do Rio Preto	
6/25/2023 12:11:58	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Nazareth/15341	680000	Jardim Nazareth			Mais que 400 mil	3	3	450,0	Não	LESTE	Jardim Nazareth, São José Do Rio Preto	
6/25/2023 12:12:46	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Nazareth/12844	350000	Jardim Nazareth			350-400 mil	>=4	3	300,0	Não	LESTE	Jardim Nazareth, São José Do Rio Preto	
6/25/2023 12:13:32	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Nazareth/6092	300000	Jardim Nazareth			300-350 mil	3	2	180,0	Não	LESTE	Jardim Nazareth, São José Do Rio Preto	
6/25/2023 12:14:09	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Primavera/22986	550000	Jardim Primavera			Mais que 400 mil	3	3	306,0	Não	LESTE	Jardim Primavera, São José Do Rio Preto	
6/25/2023 12:15:02	redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Primavera/20335	800000	Jardim Primavera			Mais que 400 mil	3	2	400,0	Não	LESTE	Jardim Primavera, São José Do Rio Preto	
6/25/2023 12:15:36	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Primavera/19851	750000	Jardim Primavera			Mais que 400 mil	3	3	396,0	Sim	LESTE	Jardim Primavera, São José Do Rio Preto	
6/25/2023 12:16:14	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Primavera/1369	450000	Jardim Primavera			Mais que 400 mil	3	3	304,0	Não	LESTE	Jardim Primavera, São José Do Rio Preto	
6/25/2023 12:16:51	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Primavera/19199	480000	Jardim Primavera			Mais que 400 mil	3	1	576,0	Sim	LESTE	Jardim Primavera, São José Do Rio Preto	
6/25/2023 12:17:22	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Primavera/1257	480000	Jardim Primavera			Mais que 400 mil	>=4	3	500,0		LESTE	Jardim Primavera, São José Do Rio Preto	
6/25/2023 12:18:29	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Sao-Marco/24324	695000	Jardim São Marco			Mais que 400 mil	3	3	360,0	Não	LESTE	Jardim São Marco, São José Do Rio Preto	
6/25/2023 12:19:08	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Sao-Marco/23599	800000	Jardim São Marco			Mais que 400 mil	3	3	360,0	Não	LESTE	Jardim São Marco, São José Do Rio Preto	
6/25/2023 12:19:42	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Sao-Marco/22381	315000	Jardim São Marco			300-350 mil	2	1	190,0	Não	LESTE	Jardim São Marco, São José Do Rio Preto	
6/25/2023 12:20:17	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Sao-Marco/22368	750000	Jardim São Marco			Mais que 400 mil	3	4	360,0	Não	LESTE	Jardim São Marco, São José Do Rio Preto	
6/25/2023 12:20:53	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Sao-Marco/19642	535000	Jardim São Marco			Mais que 400 mil	2	3	360,0	Sim	LESTE	Jardim São Marco, São José Do Rio Preto	
6/25/2023 12:22:56	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Sao-Marco/18906	650000	Jardim São Marco			Mais que 400 mil	3	3	360,0	Não	LESTE	Jardim São Marco, São José Do Rio Preto	
6/25/2023 12:23:55	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Sao-Marco/17665	780000	Jardim São Marco			Mais que 400 mil	3	3	360,0	Não	LESTE	Jardim São Marco, São José Do Rio Preto	
6/25/2023 12:24:34	redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Sao-Marco/17015	650000	Jardim São Marco			Mais que 400 mil	3	2	360,0	Não	LESTE	Jardim São Marco, São José Do Rio Preto	
6/25/2023 12:25:42	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Sao-Marco/15636	500000	Jardim São Marco			Mais que 400 mil	3	3	360,0	Não	LESTE	Jardim São Marco, São José Do Rio Preto	
