CARIMBO DE DATA/HORA	LINK DA CASA	VALOR DA CASA	BAIRRO	RUA	NÚMERO 	VALOR DO IMÓVEL 	NÚMERO DE QUARTOS	NÚMERO DE BANHEIROS	TAMANHO DO TERRENO	TEM EDÍCULA?	ZONA	dddd	São José do Rio Preto
6/22/2023 15:02:52	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Alto-das-Andorinhas/1311	300000	Residencial Alto das Andorinhas			300-350 mil	3	2	200,0	Não	NORTE	Residencial Alto das Andorinhas, São José do Rio Preto	
6/22/2023 15:03:44	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Alto-das-Andorinhas/1477	370000	Residencial Alto das Andorinhas			350-400 mil	3	2	200,0	Não	NORTE	Residencial Alto das Andorinhas, São José do Rio Preto	
6/22/2023 15:04:40	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Alto-das-Andorinhas/4878	450000	Residencial Alto das Andorinhas			Mais que 400 mil	3	2	200,0	Não	NORTE	Residencial Alto das Andorinhas, São José do Rio Preto	
6/22/2023 15:05:44	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Ana-Celia/12845	300000	Residencial Ana Célia			300-350 mil	>=4	2	225,0	Não	NORTE	Residencial Ana Célia, São José do Rio Preto	
6/22/2023 15:06:39	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Ana-Celia/13583	212000	Residencial Ana Célia			Até 250 mil	3	2	406,0	Não	NORTE	Residencial Ana Célia, São José do Rio Preto	
6/22/2023 15:07:29	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Ana-Celia/7774	370000	Residencial Ana Célia			350-400 mil	>=4	4	275,0	Não	NORTE	Residencial Ana Célia, São José do Rio Preto	
6/22/2023 15:08:22	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Ana-Celia/839	258000	Residencial Ana Célia			250-300 mil	3	1	250,0	Não	NORTE	Residencial Ana Célia, São José do Rio Preto	
6/22/2023 15:09:21	https://redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Ana-Celia/917	300000	Residencial Ana Célia			300-350 mil	3	2	200,0	Não	NORTE	Residencial Ana Célia, São José do Rio Preto	
6/22/2023 15:10:12	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Bom-Sucesso/19869	245000	Residencial Bom Sucesso			Até 250 mil	3	2	200,0	Não	NORTE	Residencial Bom Sucesso, São José do Rio Preto	
6/22/2023 15:10:56	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Bom-Sucesso/16673	265000	Residencial Bom Sucesso			250-300 mil	2	2	200,0	Não	NORTE	Residencial Bom Sucesso, São José do Rio Preto	
6/22/2023 15:12:09	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Gabriela/14153	260000	Residencial Gabriela			250-300 mil	2	2	200,0	Não	NORTE	Residencial Gabriela, São José do Rio Preto	
6/22/2023 15:12:48	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Gabriela/1063	280000	Residencial Gabriela			250-300 mil	3	2	200,0	Não	NORTE	Residencial Gabriela, São José do Rio Preto	
6/22/2023 15:13:49	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-das-Americas/23277	450000	Residencial das Américas			Mais que 400 mil	>=4	3	200,0	Não	NORTE	Residencial das Américas, São José do Rio Preto	
